token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄨㄤˋ	rhyme_tone	w a˥˩ ŋ	370	12.59	3.70	6.1	7.5	12.2	19.4	20.8	2.5	23.1	6.1	31.2
ㄨㄤ˙	rhyme_tone	w a˥˩ ŋ	4	15.16	1.12	13.8	13.8	15.3	16.2	16.2	13.7	16.2		
ㄨㄥˇ	rhyme_tone	u˥ ŋ	356	8.70	3.08	5.0	5.6	8.1	16.4	19.7	3.8	21.3	5.0	29.5
ㄨㄥˉ	rhyme_tone	u˥ ŋ	1160	9.13	2.93	4.4	5.0	8.7	15.0	16.9	3.7	19.4	4.4	25.3
ㄨㄥˊ	rhyme_tone	u˥ ŋ	893	8.44	3.17	4.4	5.0	7.5	16.5	18.8	3.7	21.9	4.4	28.1
ㄨㄥˋ	rhyme_tone	u˥ ŋ	596	9.24	3.27	5.0	5.6	8.1	15.8	16.9	4.4	18.1	5.0	25.4
ㄨㄥ˙	rhyme_tone	u˥ ŋ	11	9.09	2.46	6.3	6.6	8.1	12.8	13.1	6.2	13.1		
ㄩˇ	rhyme_tone	y˧˥	594	8.02	4.88	1.9	3.1	6.9	20.0	23.1	1.9	26.2	1.9	34.7
ㄩˉ	rhyme_tone	y˧˥	200	5.25	3.61	1.9	1.9	4.4	14.4	15.6	1.9	16.2	1.9	23.4
ㄩˊ	rhyme_tone	y˧˥	704	8.89	4.15	1.9	3.1	8.7	17.4	22.5	1.9	24.4	1.9	33.7
ㄩˋ	rhyme_tone	y˧˥	1134	7.04	4.15	1.9	2.5	5.6	13.8	17.5	1.9	27.5	1.9	26.2
ㄩ˙	rhyme_tone	y˧˥	23	9.59	3.74	3.1	3.1	11.2	13.8	14.2	3.1	14.4	3.1	21.4
ㄩㄝˇ	rhyme_tone	ɥ e˥˩	67	7.89	3.88	3.5	4.4	6.3	16.7	19.0	3.1	19.4	3.5	28.4
ㄩㄝˉ	rhyme_tone	ɥ e˥˩	96	10.30	3.72	4.3	4.8	10.0	17.2	20.0	2.5	20.0	4.3	30.0
ㄩㄝˊ	rhyme_tone	ɥ e˥˩	370	7.90	3.22	4.4	4.4	6.9	16.2	17.5	3.8	18.8	4.4	26.3
ㄩㄝˋ	rhyme_tone	ɥ e˥˩	673	9.98	4.06	2.5	3.7	10.0	17.5	20.0	1.9	23.1	2.5	30.0
ㄩㄢˇ	rhyme_tone	ɥ e˧˥ n	189	13.35	4.83	6.2	6.9	12.5	22.9	26.0	5.0	28.8	6.2	39.0
ㄩㄢˉ	rhyme_tone	ɥ e˧˥ n	54	11.24	4.26	4.7	5.0	10.3	19.0	20.3	4.4	20.6	4.7	30.4
ㄩㄢˊ	rhyme_tone	ɥ e˧˥ n	598	13.48	4.90	5.6	6.9	12.5	23.1	25.6	5.0	28.1	5.6	38.5
ㄩㄢˋ	rhyme_tone	ɥ e˧˥ n	180	13.67	3.74	6.7	8.1	13.1	20.6	23.1	3.7	23.1	6.7	34.7
ㄩㄢ˙	rhyme_tone	ɥ e˧˥ n	5	14.25	2.94	11.9	12.0	13.1	18.8	19.8	11.9	20.0		
ㄩㄣˇ	rhyme_tone	y˧˥ n	3	12.92	5.60	7.6	7.8	10.6	19.6	20.4	7.5	20.6		
ㄩㄣˉ	rhyme_tone	y˧˥ n	79	10.53	3.69	4.7	6.3	8.8	17.0	19.8	3.8	21.3	4.7	29.7
ㄩㄣˊ	rhyme_tone	y˧˥ n	209	12.30	4.90	4.4	5.6	11.9	23.1	24.9	4.4	27.5	4.4	37.4
ㄩㄣˋ	rhyme_tone	y˧˥ n	148	11.78	4.79	5.6	6.3	10.3	21.3	24.1	5.0	28.1	5.6	36.1
ㄩㄥˇ	rhyme_tone	j u˥˩ ŋ	76	13.84	3.58	9.2	9.8	13.1	22.7	25.8	8.8	26.3	9.2	38.7
ㄩㄥˉ	rhyme_tone	j u˥˩ ŋ	69	10.30	3.03	5.6	6.2	10.0	15.6	18.3	5.6	18.7	5.6	27.5
ㄩㄥˊ	rhyme_tone	j u˥˩ ŋ	190	11.14	3.77	5.6	6.2	10.6	17.8	21.9	5.0	23.1	5.6	32.9
ㄩㄥˋ	rhyme_tone	j u˥˩ ŋ	436	11.60	3.05	7.5	8.1	10.6	18.8	21.3	3.8	24.4	7.5	31.9
ㄩㄥ˙	rhyme_tone	j u˥˩ ŋ	3	10.83	1.56	8.8	9.0	11.2	12.4	12.5	8.8	12.5		
