token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄨㄤˋ	rhyme_tone	w a˥˩ ŋ	346	12.45	3.65	5.9	7.5	11.9	19.4	21.0	2.5	23.1	6.1	31.2
ㄨㄤ˙	rhyme_tone	w a˥˩ ŋ	3	15.62	0.88	14.4	14.6	16.2	16.2	16.2	14.4	16.2		
ㄨㄥˇ	rhyme_tone	u˥ ŋ	335	8.18	2.29	5.0	5.6	7.5	11.4	17.5	3.8	21.3	5.0	29.5
ㄨㄥˉ	rhyme_tone	u˥ ŋ	1056	8.84	2.73	4.4	5.0	8.1	15.0	16.3	3.7	19.4	4.4	25.3
ㄨㄥˊ	rhyme_tone	u˥ ŋ	859	8.21	2.85	4.4	5.0	7.5	15.0	18.4	3.7	21.9	4.4	28.1
ㄨㄥˋ	rhyme_tone	u˥ ŋ	535	8.74	2.95	5.0	5.0	8.1	15.6	16.9	4.4	18.1	5.0	25.4
ㄨㄥ˙	rhyme_tone	u˥ ŋ	11	9.09	2.46	6.3	6.6	8.1	12.8	13.1	6.2	13.1		
ㄩˇ	rhyme_tone	y˧˥	529	7.28	4.07	1.9	2.5	6.3	16.2	22.3	1.9	26.2	1.9	34.7
ㄩˉ	rhyme_tone	y˧˥	193	4.98	3.31	1.9	1.9	4.4	14.0	15.6	1.9	15.6	1.9	23.4
ㄩˊ	rhyme_tone	y˧˥	598	8.63	4.21	1.9	3.1	8.1	16.9	22.5	1.9	24.4	1.9	33.7
ㄩˋ	rhyme_tone	y˧˥	953	6.20	3.82	1.9	2.5	5.0	13.7	17.5	1.9	27.5	1.9	26.2
ㄩ˙	rhyme_tone	y˧˥	14	8.08	4.05	3.1	3.1	7.5	13.8	13.8	3.1	13.8	3.1	21.4
ㄩㄝˇ	rhyme_tone	ɥ e˥˩	60	7.25	3.22	3.5	4.4	6.3	13.9	19.0	3.1	19.4	3.5	28.4
ㄩㄝˉ	rhyme_tone	ɥ e˥˩	90	10.16	3.51	4.2	5.0	10.0	16.3	18.3	2.5	20.0	4.3	30.0
ㄩㄝˊ	rhyme_tone	ɥ e˥˩	357	7.59	2.83	4.4	4.4	6.9	13.8	17.5	3.8	18.8	4.4	26.3
ㄩㄝˋ	rhyme_tone	ɥ e˥˩	626	9.84	3.94	2.5	3.7	10.0	16.3	20.0	1.9	22.5	2.5	30.0
ㄩㄢˇ	rhyme_tone	ɥ e˧˥ n	175	12.71	4.29	6.1	6.9	11.9	21.2	24.7	5.0	28.8	6.2	39.0
ㄩㄢˉ	rhyme_tone	ɥ e˧˥ n	49	10.78	4.09	4.7	5.0	10.0	18.5	20.3	4.4	20.6	4.7	30.4
ㄩㄢˊ	rhyme_tone	ɥ e˧˥ n	505	12.68	4.32	5.6	6.9	11.9	20.6	24.4	5.0	26.2	5.6	38.5
ㄩㄢˋ	rhyme_tone	ɥ e˧˥ n	164	13.30	3.55	6.6	8.1	12.5	19.4	21.9	3.7	23.1	6.7	34.7
ㄩㄢ˙	rhyme_tone	ɥ e˧˥ n	5	14.25	2.94	11.9	12.0	13.1	18.8	19.8	11.9	20.0		
ㄩㄣˇ	rhyme_tone	y˧˥ n	2	9.06	1.56	7.5	7.7	9.1	10.5	10.6	7.5	10.6		
ㄩㄣˉ	rhyme_tone	y˧˥ n	75	10.28	3.62	4.7	6.3	8.8	17.2	19.9	3.8	21.3	4.7	29.7
ㄩㄣˊ	rhyme_tone	y˧˥ n	191	11.84	4.56	4.4	5.3	11.3	20.6	25.0	4.4	27.5	4.4	37.4
ㄩㄣˋ	rhyme_tone	y˧˥ n	142	11.52	4.67	5.6	6.2	10.0	21.3	23.9	5.0	28.1	5.6	36.1
ㄩㄥˇ	rhyme_tone	j u˥˩ ŋ	74	13.58	3.26	9.2	9.8	13.1	19.6	25.8	8.8	26.3	9.2	38.7
ㄩㄥˉ	rhyme_tone	j u˥˩ ŋ	67	10.16	2.89	5.6	6.2	10.0	15.6	17.3	5.6	18.1	5.6	27.5
ㄩㄥˊ	rhyme_tone	j u˥˩ ŋ	180	11.00	3.73	5.5	6.2	10.6	18.1	22.0	5.0	23.1	5.6	32.9
ㄩㄥˋ	rhyme_tone	j u˥˩ ŋ	390	11.33	2.71	7.5	8.1	10.6	16.6	21.2	3.8	24.4	7.5	31.9
ㄩㄥ˙	rhyme_tone	j u˥˩ ŋ	3	10.83	1.56	8.8	9.0	11.2	12.4	12.5	8.8	12.5		
