token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄨㄤ˙	rhyme_tone	w a˥˩ ŋ	6	12.29	4.62	8.2	8.3	10.9	19.7	21.4	8.1	21.9		
ㄨㄥˇ	rhyme_tone	u˥ ŋ	384	9.70	3.04	6.2	6.9	8.8	16.9	19.4	5.0	20.6	6.2	29.1
ㄨㄥˉ	rhyme_tone	u˥ ŋ	1736	9.83	2.71	5.6	6.7	9.4	15.0	16.9	4.4	18.7	5.6	25.3
ㄨㄥˊ	rhyme_tone	u˥ ŋ	1121	9.44	2.55	5.6	6.3	8.8	15.0	17.5	4.4	22.5	5.6	26.3
ㄨㄥˋ	rhyme_tone	u˥ ŋ	767	10.01	2.65	5.6	6.9	9.4	15.0	16.3	3.8	23.8	5.6	24.4
ㄨㄥ˙	rhyme_tone	u˥ ŋ	44	9.96	2.57	6.5	6.9	9.1	13.7	16.1	6.2	16.9	6.5	24.1
ㄩˇ	rhyme_tone	y˧˥	935	8.75	4.06	2.5	3.8	8.1	17.5	21.2	1.9	29.4	2.5	31.9
ㄩˉ	rhyme_tone	y˧˥	320	6.63	3.49	1.9	2.5	5.6	13.7	16.0	1.9	20.0	1.9	24.0
ㄩˊ	rhyme_tone	y˧˥	873	9.54	3.78	2.5	4.4	9.4	16.9	21.4	1.9	25.0	2.5	32.1
ㄩˋ	rhyme_tone	y˧˥	1150	8.11	3.86	2.5	3.1	7.5	15.0	19.7	1.9	22.5	2.5	29.5
ㄩ˙	rhyme_tone	y˧˥	31	10.06	3.74	2.5	4.1	10.6	15.9	18.9	2.5	20.0	2.5	28.3
ㄩㄝˇ	rhyme_tone	ɥ e˥˩	54	8.43	4.12	2.2	3.8	6.9	16.5	17.5	1.9	18.1	2.2	26.2
ㄩㄝˉ	rhyme_tone	ɥ e˥˩	115	10.46	4.36	4.5	5.0	10.0	18.9	21.9	3.7	24.4	4.5	32.8
ㄩㄝˊ	rhyme_tone	ɥ e˥˩	511	7.59	3.32	3.7	4.4	6.9	15.6	17.5	2.5	19.4	3.7	26.2
ㄩㄝˋ	rhyme_tone	ɥ e˥˩	557	9.84	3.96	3.7	4.4	10.0	17.5	20.0	1.9	22.5	3.7	30.0
ㄩㄢˇ	rhyme_tone	ɥ e˧˥ n	189	11.65	4.16	6.2	6.9	10.0	19.8	24.5	5.0	26.9	6.2	36.8
ㄩㄢˉ	rhyme_tone	ɥ e˧˥ n	108	11.27	3.46	6.2	6.9	10.0	17.5	19.9	5.6	20.6	6.2	29.8
ㄩㄢˊ	rhyme_tone	ɥ e˧˥ n	948	13.08	4.51	6.2	6.9	12.5	21.7	23.5	4.4	26.9	6.2	35.2
ㄩㄢˋ	rhyme_tone	ɥ e˧˥ n	281	13.84	3.62	6.9	8.1	13.7	20.0	21.9	5.6	24.4	6.9	32.8
ㄩㄢ˙	rhyme_tone	ɥ e˧˥ n	5	13.12	4.63	6.9	7.1	16.2	17.4	17.5	6.9	17.5		
ㄩㄣˇ	rhyme_tone	y˧˥ n	16	15.27	3.61	8.6	10.5	14.4	20.3	22.6	8.1	23.1		
ㄩㄣˉ	rhyme_tone	y˧˥ n	200	10.78	3.57	5.0	6.2	10.0	16.9	20.0	5.0	21.9	5.0	30.0
ㄩㄣˊ	rhyme_tone	y˧˥ n	183	11.10	3.93	5.0	6.3	10.6	18.8	22.5	4.4	25.6	5.0	33.8
ㄩㄣˋ	rhyme_tone	y˧˥ n	242	11.38	3.06	5.0	6.9	11.2	16.2	18.7	5.0	21.9	5.0	28.1
ㄩㄥˇ	rhyme_tone	j u˥˩ ŋ	72	13.88	3.26	8.8	10.0	13.1	20.0	23.5	7.5	24.4	8.8	35.2
ㄩㄥˉ	rhyme_tone	j u˥˩ ŋ	79	11.66	2.53	7.0	8.1	11.3	16.2	16.2	5.0	16.2	7.0	24.4
ㄩㄥˊ	rhyme_tone	j u˥˩ ŋ	122	11.79	3.24	6.2	7.5	11.2	17.5	19.9	6.2	21.2	6.2	29.8
ㄩㄥˋ	rhyme_tone	j u˥˩ ŋ	398	13.18	2.55	9.4	10.0	12.5	18.1	20.6	8.8	21.9	9.4	30.9
ㄩㄥ˙	rhyme_tone	j u˥˩ ŋ	8	10.31	2.40	7.0	7.3	10.0	13.7	14.2	6.9	14.4		
